part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
_NONCE_PAD,UserDefined,30,,,,1.00;1.00;1.00,,,,,
Kozak1,RBS,,,,,0,98;0,64;0,15,,,,,
Kozak12,RBS,,,,,0,58;0,80;0,87,,,,,
Kozak4,RBS,,,,,0,61;0,33;0,63,,,,,
PlmJ_S2,Spacer,,,,,0,00;0,00;0,00,,,,,
Kozak15,RBS,,,,,0,73;0,82;0,77,,,,,
YFP_reporter_cassette,UserDefined,25,5,,,0,00;0,00;0,00,,,,,
Kozak8,RBS,,,,,0,91;0,22;0,60,,,,,
RiboJ53_S8,Spacer,,,,,0,00;0,00;0,00,,,,,
TGRE3,Terminator,,,,,0,00;0,00;0,00,,,,,
pCI2_a,Promoter,,,,,0,58;0,80;0,87,,,,,
RiboJ10_S7,Spacer,,,,,0,00;0,00;0,00,,,,,
BM3RI_a,CDS,,,,,0,61;0,33;0,63,,,,,
CI_b,CDS,,,,,0,58;0,80;0,87,,,,,
RiboJ00_S1,Spacer,,,,,0,00;0,00;0,00,,,,,
CI_a,CDS,,,,,0,58;0,80;0,87,,,,,
BM3RI_b,CDS,,,,,0,61;0,33;0,63,,,,,
CI434_a,CDS,,,,,0,73;0,82;0,77,,,,,
Pxyl,Promoter,,,,,0.0;0.0;0.0,,,,,
pCI4341_a,Promoter,,,,,0,73;0,82;0,77,,,,,
TMRP4,Terminator,,,,,0,00;0,00;0,00,,,,,
TADH1,Terminator,,,,,0,00;0,00;0,00,,,,,
TPDC6,Terminator,,,,,0,00;0,00;0,00,,,,,
ElvJ_S3,Spacer,,,,,0,00;0,00;0,00,,,,,
IcaR_a,CDS,,,,,0,91;0,22;0,60,,,,,
TCYC7,Terminator,,,,,0,00;0,00;0,00,,,,,
TGND1,Terminator,,,,,0,00;0,00;0,00,,,,,
RiboJ54_S9,Spacer,,,,,0,00;0,00;0,00,,,,,
TTIP1,Terminator,,,,,0,00;0,00;0,00,,,,,
ScmJ_S6,Spacer,,,,,0,00;0,00;0,00,,,,,
TACT1,Terminator,,,,,0,00;0,00;0,00,,,,,
pIcaR1_a,Promoter,,,,,0,91;0,22;0,60,,,,,
pPhlF1_a,Promoter,,,,,0,98;0,64;0,15,,,,,
AraJ_S4,Spacer,,,,,0,00;0,00;0,00,,,,,
Ptet,Promoter,,,,,0.0;0.0;0.0,,,,,
pBm3RI1_a,Promoter,,,,,0,61;0,33;0,63,,,,,
TTEF1,Terminator,,,,,0,00;0,00;0,00,,,,,
RiboJ51_S5,Spacer,,,,,0,00;0,00;0,00,,,,,
